SIGLA	NOME CONFERÊNCIA	Qualis
21CW	IEEE Conference on Norbert Wiener in the 21st Century	B4
3DCVE	International Workshop on Collaborative Virtual Environments	B4
3DIC	3D System Integration	B1
3DIPM	Three-Dimensional Image Processing, Measurement and Applications	B5
3DOR	Eurographics Workshop on 3D Object Retrieval	B4
3DTV	3DTV Conference: The True Vision-Capture, Transmission and Display of 3D Video	B3
3DUI	IEEE Symposium on 3D User Interfaces	B1
3PGCIC	International Conference on P2P, Parallel, Grid, Cloud and Internet Computing	B2
A-TEST	International Workshop on Automating Test Case Design, Selection and Evaluation	B4
AAAI	Conference on Artificial Intelligence	A1
AAATE	Association for the Advancement of Assistive Technology in Europe Conference	B5
AAIM	International Conference on Algorithmic Aspects of Information and Management	B2
AAMAS	International Conference on Autonomous Agents and Multiagent Systems	A1
ACE	Advances in Computer Entertainment Technology	B3
ACHI	IARIA International Conference on Advances in Computer-Human Interactions	B5
ACIVS	Advanced Concepts for Intelligent Vision Systems	B2
ACL	Annual Meeting of the Association for Computational Linguistics	A1
ACM-SIGSPATIAL	International Conference on Advances in Geographic Information Systems	A1
ICN	ACM International Conference on Information-Centric Networking	A1
ACRA	Australasian Conference on Robotics and Automation	B5
ADBIS	East European Conference on Advances in Databases and Information Systems	B1
ADVANCE	International Workshop on ADVANCEs in ICT Infrastructures and Services	B4
ADHOC-NOW	The 15th International Conference on Ad Hoc Networks and Wireless - ADHOC-NOW 2016	B2
ADHOC-NOW	Ad-Hoc, Mobile and Wireless Networks	B2
ADVCOMP	" IARIA International Conference on Advanced Engineering Computing and Applications in Sciences"	B5
AGERE	Workshop on Programming based on Actors, Agents, and Decentralized Control	B2
AGI	Conference on Artificial General Intelligence	B1
AGILE	Agile Conference	B1
AH	Augmented Human International Conference	B1
AHS	Adaptive Hardware and Systems	B1
AI	Canadian Conference on Artificial Intelligence	B1
AICCSA	ACS/IEEE International Conference on Computer Systems and Applications	B2
AICT	International Conference on Application of Information and Communication Technologies	B2
AICT	IARIA Advanced International Conference on Telecommunications	B5
AIED	Artificial Intelligence in Education Conference	A2
AIIDE	"AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment "	A2
AINA	IEEE International Conference on Advanced Information Networking and Applications	A2
AISEC	ACM Workshop on Artificial Intelligence and Security	B4
ALIO/EURO	Workshop on Applied Combinatorial Optimization	B5
ALLERTON	Allerton Conference on Communication, Control, and Computing	A1
AM	Audio Mostly on Interaction With Sound	B5
AMCIS	Americas Conference on Information Systems	A2
AMIA	Annual Symposium of the American Medical Informatics Association	B2
AMW	Alberto Mendelzon International Workshop on Foundations of Data Management	B2
ANTS	International Conference on Swarm Intelligence	B2
APCASE	Asia-Pacific Conference on Computer Aided System Engineering	B4
APDCM	Workshop on Advances in Parallel and Distributed Computational Models	B4
APLAS	Asian Symposium on Programming Languages and Systems	B1
ARC	International Symposium on Applied Reconfigurable Computing	B1
ARES	International Conference on Availability, Reliability and Security	A2
ArgMAS	International Workshop on Argumentation in Multiagent Systems	B5
ARRAY	IEEE International Symposium on Phased Array Systems & Technology	B3
ASAP	IEEE International Conference on Application-specific Systems, Architectures and Processors	B1
ASE	IEEE/ACM International Conference on Automated Software Engineering	A1
ASIACCS	ACM Symposium on Information, Computer and Communications Security	A1
ASIACRYPT	Annual International Conference on the Theory and Applications of Cryptology and Information Security	A1
ASONAM	IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining	A2
ASPLOS	International Conference on Architectural Support for Programming Languages and Operating Systems	A1
ASSETS	International ACM SIGACCESS Conference on Computers and Accessibility	A2
ASYNC	IEEE International Symposium on Asynchronous Circuits and Systems	B2
ATC	International Conference on Advanced Technologies for Communications	B2
ATT	"International Workshop on Agents in Traffic and Transportation "	B4
BAI	Workshop on Advances in Bioinformatics and Artificial Intelligence: bridging the Gaps	B4
BCB	ACM International Conference on Bioinformatics and Computational Biology and Health Informatics	B3
BDCLOUD	International Conference on Big Data and Cloud Computing	B3
BeyondMR	Workshop on Algorithms and Systems for MapReduce and Beyond	B4
BIBE	IEEE International Conference on BioInformatics and BioEngineering	B2
BIBM	IEEE International Conference on Bioinformatics and Biomedicine	B3
BigData	IEEE International Congress on BigData	B1
BIGDSE	IEEE/ACM International Workshop on Big Data Software Engineering	B4
BigSpatial	ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data	B4
BioCOMP	WC International Conference on Bioinformatics & Computational Biology	B5
BIOKDD	International Workshop on Biological Knowledge Discovery and Data Mining	B4
BIOSIG	International Conference of the Biometrics Special Interest Group	B1
BIOSTEC	International Joint Conference on Biomedical Engineering Systems and Technologies	B5
BIR	BIR 2014-13th International Conferences on Business Informatics Research	B2
BIR	International Conferences on Perspectives in Business Informatics Research	B2
BMEI	International Conference BioMedical Engineering and Informatics	B2
BMSB	International Symposium on Broadband Multimedia Systems and Broadcasting	B1
BMVC	British Machine Vision Conference	A1
BNAIC	Benelux Conference on Artificial Intelligence	B5
BPM	International Conference on Business Process Management	A2
BPMS2	Workshop on Social and Human Aspects of Business Process Management	B4
BRACIS	Brazilian Conference on Intelligent System (ENIAC)	B3
BrasNAM	Brazilian Workshop on Social Network Analysis and Mining	B5
BRC	ISSNIP Biosignals and Biorobotics Conference	B2
BRESCI	Brazilian e-Science Workshop	B4
BSB	Brazilian Symposium on Bioinformatics	B3
BWILD	International Workshop on Biometrics in the Wild	B4
C4BIE	International Workshop on Cloud for Business, Industry and Enterprises	B5
CAD/Graphics	International Conference on Computer-Aided Design and Computer Graphics	B3
CADMICS	Collaboration and Decision Making in Crisis Situations	C
CAIP	"International Conference on Computer Analysis of Images and Patterns "	B1
CAISE	International Conference on Advanced Information Systems Engineering	A2
CANS	International Conference on Cryptology and Network Security	B1
CARE	Workshop on Collaborative Agents Research and Development	B5
CASCON	Annual International Conference on Computer Science and Software Engineering	B1
CASE	IEEE Conference on Automation Science and Engineering	B1
CASES	International Conference on Compilers, Architecture, and Synthesis for Embedded Systems	B1
CASoN	International Conferennce on Computational Aspects of Social Networks	B1
CBEU	Congresso Brasileiro de Extensao Universitaria	C
CBIC	Congresso Brasileiro de Inteligência Computacional	B5
CBMI	International Workshop on Content-Based Multimedia Indexing	B1
CBMS	International Symposium on Computer-Based Medical Systems	B1
CBSE	International ACM Sigsoft Symposium on Component-Based Software Engineering	B1
