SIGLA   NOMECONFERENCIA        Qualis
21CW	IEEE Conference on Norbert Wiener in the 21st Century	B4
3DCVE	International Workshop on Collaborative Virtual Environments	B4
3DIC	International 3D System Integration Conference	B1
3DIPM	Three-Dimensional Image Processing Measurement and Applications	B5
3DOR	Eurographics Workshop on 3D Object Retrieval	B4
3DTV	3DTV Conference: The True Vision-Capture Transmission and Display of 3D Video	B1
3DUI	IEEE Symposium on 3D User Interfaces	B1 
3PGCIC	International Conference on P2P  Parallel Grid  Cloud and Internet Computing	B1
A-TEST	International Workshop on Automating Test Case Design Selection and Evaluation	B4
AAAI	Conference on Artificial Intelligence	A1
AAATE	Association for the Advancement of Assistive Technology in Europe Congress	B5
AAIM	International Conference on Algorithmic Aspects of Information and Management	B2
AAMAS	International Conference on Autonomous Agents and Multiagent Systems	A1
AC-HCI	International Conference on Augmented Cognition	B2
ACE	International Conference on Advances in Computer Entertainment Technology	B1
ACHI-IARIA	IARIA International Conference on Advances in Computer-Human Interactions	B5
ACIVS	Advanced Concepts for Intelligent Vision Systems	B1
ACL	Annual Meeting of the Association for Computational Linguistics	A1
ACMSOCC	ACM Symposium on Cloud Computing	A1
ACRA	Australasian Conference on Robotics and Automation	B5
ACRI	International conference on Cellular Automata for Research and Industry	B2
ADBIS	East European Conference on Advances in Databases and Information Systems	B1
ADHOC-NOW	International Conference on Ad-Hoc Networks and Wireless	B1
ADVCOMP-IARIA	IARIA International Conference on Advanced Engineering Computing and Applications in Sciences	B5
AGERE	Workshop on Programming based on Actors Agents  and Decentralized Control	B2
AGI	Conference on Artificial General Intelligence	B1
AGILE	Agile Conference	B1
AGILEGIS	Conference on Geographic Information Science	B2
AH	Augmented Human International Conference	B1
AHS	NASA/ESA Conference on Adaptive Hardware and Systems	B1
AI	Canadian Conference on Artificial Intelligence	B1
AICCSA	ACS/IEEE International Conference on Computer Systems and Applications	B2
AICT	International Conference on Application of Information and Communication Technologies	B2
AICT-IARIA	IARIA Advanced International Conference on Telecommunications	B5
AIED	Intternational Conference on Artificial Intelligence in Education	A2
AIIDE	AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment	A2
AIML	Advances in Modal Logic	B2
AINA	IEEE International Conference on Advanced Information Networking and Applications	A2
AINAW	IEEE International Conference on Advanced Information Networking and Applications Workshops	B4
AISEC	ACM Workshop on Artificial Intelligence and Security	B4
ALIO/EURO	Workshop on Applied Combinatorial Optimization	B5
ALLERTON	Allerton Conference on Communication  Control and Computing	A1
AM	Audio Mostly on Interaction With Sound	B5
AMCIS	Americas Conference on Information Systems	A2
AMIA	Annual Symposium of the American Medical Informatics Association	B2
AMW	Alberto Mendelzon International Workshop on Foundations of Data Management	B1
ANNPR	International IAPR TC3 Workshop on Artificial Neural Networks in Pattern Recognition	B2
ANTS	International Conference on Swarm Intelligence	B2
AOFA	International Conference on Probabilistic Combinatorial and Asymptotic Methods for the Analysis of Algorithms	B5
APCASE	Asia-Pacific Conference on Computer Aided System Engineering	B4
APDCM	Workshop on Advances in Parallel and Distributed Computational Models	B4
APLAS	Asian Symposium on Programming Languages and Systems	B1
ARC	International Symposium on Applied Reconfigurable Computing	B1
ARES	International Conference on Availability Reliability and Security	A2
ARGMAS	International Workshop on Argumentation in Multiagent Systems	B5
ARMS-CC	International Workshop on Adaptive Resource Management and Scheduling for Cloud Computing	B4
ASAP	IEEE International Conference on Application-specific Systems Architectures and Processors	B1
ASE	IEEE/ACM International Conference on Automated Software Engineering	A1
ASIACRYPT	Annual International Conference on the Theory and Applications of Cryptology and Information Security	A1
ASONAM	IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining	A2
ASPLOS	International Conference on Architectural Support for Programming Languages and Operating Systems	A1
ASSETS	International ACM SIGACCESS Conference on Computers and Accessibility	A2
ASYNC	IEEE International Symposium on Asynchronous Circuits and Systems	B2
ATT	International Workshop on Agents in Traffic and Transportation	B4
AVSS	IEEE International Conference on Advanced Video and Signal Based Surveillance	A2
BAI	Workshop on Advances in Bioinformatics and Artificial Intelligence: bridging the Gaps	B4
BCB	ACM International Conference on Bioinformatics and Computational Biology and Health Informatics	B2
BDCLOUD	International Conference on Big Data and Cloud Computing	B3
BEDS	ACM International Conference on Distributed Event-Based Systems	B2
BeyondMR	Workshop on Algorithms and Systems for MapReduce and Beyond	B4
BIBE	IEEE International Conference on BioInformatics and BioEngineering	B1
BIBM	IEEE International Conference on Bioinformatics and Biomedicine	B1
BIGDATA	IEEE International Congress on BigData	B1
BIGDATASECURITY	IEEE International Conference on Big Data Security on Cloud	B5
BIGDSE	IEEE/ACM International Workshop on Big Data Software Engineering	B4
BIGMM	IEEE International Conference on Multimedia Big Data	B3
BigSpatial	ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data	B4
BIH	International Conference on Brain Informatics and Health	B2
BioCOMP-WC	International Conference on Bioinformatics & Computational Biology	B5
BIOKDD	International Workshop on Biological Knowledge Discovery and Data Mining	B4
BIOSIG	International Conference of the Biometrics Special Interest Group	B1
BIR	International Conferences on Perspectives in Business Informatics Research	B2
BMAW	Bayesian Modeling Applications Workshop	B4
BMEI	International Conference BioMedical Engineering and Informatics	B1
BMSB	IEEE International Symposium on Broadband Multimedia Systems and Broadcasting	B1
BMVC	British Machine Vision Conference	A1
BNAIC	Benelux Conference on Artificial Intelligence	B5
BPM	International Conference on Business Process Management	A2
BPMDS	International Conference BPMDS/EMMSAD	B2
BPMS2	Workshop on Social and Human Aspects of Business Process Management	B4
BRACIS	Brazilian Conference on Intelligent System	B2
BRASNAM	Brazilian Workshop on Social Network Analysis and Mining	B5
BRC	ISSNIP Biosignals and Biorobotics Conference	B4
BRESCI	Brazilian e-Science Workshop	B4
BSB	Brazilian Symposium on Bioinformatics	B3
BTAS	"IEEE International Conference on Biometrics: Theory, Applications and Systems"	A2
BWILD	International Workshop on Biometrics in the Wild	B4
C4BIE	"International Workshop on Cloud for Business	 Industry and Enterprises"	B5
CAAD	Computer-Aided Architectural Design Futures Conference	B5
CAD	International CAD Conference	B5
CADE	International Conference on Automated Deduction	A2
CADGRAPHICS	International Conference on Computer-Aided Design and Computer Graphics	B3
CAIP	International Conference on Computer Analysis of Images and Patterns	B1
CAISE	International Conference on Advanced Information Systems Engineering	A2
CALDAM	International Conference on Algorithms and Discrete Applied Mathematics	B3
