"ISSN	Titulo	Estrato	Classificação",,,,
"0360-0300	ACM Computing Surveys	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0730-0301	ACM Transactions on Graphics	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1748-7188	Algorithms for Molecular Biology	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1134-3060	Archives of Computational Methods in Engineering	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0004-3702	Artificial Intelligence (General Ed.)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0005-1098	Automatica (Oxford)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0929-5593	Autonomous Robots	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1573-7527	Autonomous Robots (Dordrecht. Online)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0140-525X	Behavioral and Brain Sciences (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1367-4811	Bioinformatics (Oxford. Online)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1367-4803	Bioinformatics (Oxford. Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0340-1200	Biological Cybernetics	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1432-0770	Biological Cybernetics (Internet)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1471-2105	BMC Bioinformatics	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0926-6410	Cognitive Brain Research	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0001-0782	Communications of the ACM	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1530-9312	Computational Linguistics - Association For Computational Linguistics (Online)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0891-2017	Computational Linguistics (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0010-4485	Computer Aided Design	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0146-4833	Computer Communication Review	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0045-7825	Computer Methods in Applied Mechanics and Engineering	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1389-1286	Computer Networks (1999)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0010-4655	Computer Physics Communications	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1744-5175	Computer Science Education	B2	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0899-3408	Computer Science Education	B2	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0360-1315	Computers and Education	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0098-1354	Computers & Chemical Engineering	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0305-0548	Computers & Operations Research	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0045-7949	Computers & Structures	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1090-235X	Computer Vision and Image Understanding (Online)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1077-3142	Computer Vision and Image Understanding (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0167-9236	Decision Support Systems	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0013-5194	Electronics Letters	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1350-911X	Electronics Letters (Online)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1364-8152	Environmental Modelling & Software	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0377-2217	European Journal of Operational Research	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1063-6560	Evolutionary Computation	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1530-9304	Evolutionary Computation (Online)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0957-4174	Expert Systems with Applications	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0165-0114	Fuzzy Sets and Systems	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0018-8646	IBM Journal of Research and Development (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1063-6692	IEEE/ACM Transactions on Networking (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1089-7798	IEEE Communications Letters (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0163-6804	IEEE Communications Magazine (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1553-877X	IEEE Communications Surveys and Tutorials	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1932-4529	IEEE Industrial Electronics Magazine	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1541-1672	IEEE Intelligent Systems	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1089-7801	IEEE Internet Computing	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1932-4553	IEEE Journal of Selected Topics in Signal Processing	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0733-8716	IEEE Journal on Selected Areas in Communications (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0272-1732	IEEE Micro	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0890-8044	IEEE Network	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1070-9908	IEEE Signal Processing Letters	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1053-5888	IEEE Signal Processing Magazine (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0740-7459	IEEE Software	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0018-9286	IEEE Transactions on Automatic Control (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1545-5955	IEEE Transactions on Automation Science and Engineering	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0018-9294	IEEE Transactions on Biomedical Engineering (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1051-8215	IEEE Transactions on Circuits and Systems for Video Technology (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0090-6778	IEEE Transactions on Communications (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0278-0070	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0018-9340	IEEE Transactions on Computers (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0018-9383	IEEE Transactions on Electron Devices	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1089-778X	IEEE Transactions on Evolutionary Computation	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1063-6706	IEEE Transactions on Fuzzy Systems	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0196-2892	IEEE Transactions on Geoscience and Remote Sensing	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1057-7149	IEEE Transactions on Image Processing	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0278-0046	IEEE Transactions on Industrial Electronics (1982. Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0018-9448	IEEE Transactions on Information Theory	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1041-4347	IEEE Transactions on Knowledge and Data Engineering (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0278-0062	IEEE Transactions on Medical Imaging (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1520-9210	IEEE Transactions on Multimedia	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1045-9227	IEEE Transactions on Neural Networks	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"2162-237X	IEEE Transactions on Neural Networks and Learning Systems	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1045-9219	IEEE Transactions on Parallel and Distributed Systems (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0162-8828	IEEE Transactions on Pattern Analysis and Machine Intelligence	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1552-3098	IEEE Transactions on Robotics	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1053-587X	IEEE Transactions on Signal Processing	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0098-5589	IEEE Transactions on Software Engineering	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1083-4427	IEEE Transactions on Systems"," Man and Cybernetics. Part A. Systems and Humans	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,
"1083-4419	IEEE Transactions on Systems"," Man and Cybernetics. Part B. Cybernetics	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,
"0018-9545	IEEE Transactions on Vehicular Technology	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1063-8210	IEEE Transactions on Very Large Scale Integration (VLSI) Systems (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1077-2626	IEEE Transactions on Visualization and Computer Graphics	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1536-1276	IEEE Transactions on Wireless Communications	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1536-1284	IEEE Wireless Communications	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0262-8856	Image and Vision Computing	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0378-7206	Information & Management (Amsterdam)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0020-0255	Information Sciences	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1097-0207	International Journal for Numerical Methods in Engineering (Online)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0029-5981	International Journal for Numerical Methods in Engineering (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1097-0363	International Journal for Numerical Methods in Fluids (Online)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0271-2091	International Journal for Numerical Methods in Fluids (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0920-5691	International Journal of Computer Vision	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0020-7179	International Journal of Control (Print)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1095-9300	International Journal of Human-Computer Studies (Online)	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"0129-0657	International Journal of Neural Systems	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
"1066-5277	Journal of Computational Biology	A1	CIÊNCIA DA COMPUTAÇÃO	Atualizado",,,,
